0000002480;scans;0000000046;DataLength
"header";0000000028;"lines"
"Date";2021-01-25;"Time";20:20:23
"ID";"HAL RC PIC-RGA 301 #15598";"Version";3
"Scans";2
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";284,00;284,00;0,01;200,000;100,000%;1,000000;1,000000;
"Scan 2";"RGA";"Temperature";"none";284,00;284,00;0,01;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"CRV_range";7;"c/s"
"CRV_resolution";6;"bits"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"discriminator";-10;"%"
"electron-energy";38,0;"V"
"emission";700,000;"uA"
"focus";-90;"V"
"gate_delay";0,1;"uS"
"gate_width";0,0;"uS"
"gating";0;"( 1 = on, 0 = off )"
"gating_invert";0;"( 0 = high/rise, 1 = low/fall)"
"mass";5,50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";1800;"V"
"resolution";-100;"%"
"Data";2
"Time";"ms";"DHTA+";"Temperatura";
00:00:01;      1361;          0;   100,6152;
00:00:01;      1694;          0;   100,4228;
00:00:02;      2027;          0;   100,4228;
00:00:02;      2360;          0;   100,4870;
00:00:02;      2693;          0;   101,1282;
00:00:03;      3027;          0;   103,4367;
00:00:03;      3360;          0;   104,0779;
00:00:03;      3693;          0;   104,7833;
00:00:04;      4027;          0;   105,9376;
00:00:04;      4360;          0;   106,0017;
00:00:04;      4693;          0;   106,3223;
00:00:05;      5027;          0;   106,0658;
00:00:05;      5360;          0;   106,2582;
00:00:05;      5693;          0;   105,8093;
00:00:06;      6027;          0;   106,4506;
00:00:06;      6360;          0;   107,2842;
00:00:06;      6693;          0;   107,4124;
00:00:07;      7027;          0;   107,0918;
00:00:07;      7360;          0;   107,4766;
00:00:07;      7693;          0;   107,7331;
00:00:08;      8027;          0;   107,9896;
00:00:08;      8360;          0;   107,7972;
00:00:08;      8693;          0;   106,8353;
00:00:09;      9027;          0;   106,1941;
00:00:09;      9360;          0;   106,9636;
00:00:09;      9693;          0;   107,6048;
00:00:10;     10027;          0;   108,1178;
00:00:10;     10360;          0;   108,2461;
00:00:10;     10693;          0;   108,2461;
00:00:11;     11027;          0;   108,8232;
00:00:11;     11360;          0;   109,1438;
00:00:11;     11693;          0;   108,8873;
00:00:12;     12027;          0;   108,4384;
00:00:12;     12360;          0;   107,8613;
00:00:12;     12693;          0;   108,1819;
00:00:13;     13027;          0;   108,2461;
00:00:13;     13360;          0;   108,3743;
00:00:13;     13693;          0;   107,9896;
00:00:14;     14027;          0;   107,9254;
00:00:14;     14360;          0;   107,9254;
00:00:14;     14693;          0;   107,3483;
00:00:15;     15027;          0;   107,6689;
00:00:15;     15360;          0;   107,9896;
00:00:15;     15693;          0;   107,7972;
00:00:16;     16027;          0;   108,1819;
00:00:16;     16360;          0;   108,1819;
00:00:16;     16693;          0;   108,5667;
00:00:17;     17027;          0;   108,9514;
00:00:17;     17360;          0;   108,9514;
00:00:17;     17693;          0;   108,3743;
00:00:18;     18027;          0;   107,8613;
00:00:18;     18360;          0;   107,7331;
00:00:18;     18693;          0;   107,9896;
00:00:19;     19027;          0;   108,6949;
00:00:19;     19360;          0;   109,3362;
00:00:19;     19693;          0;   109,9774;
00:00:20;     20027;          0;   110,0415;
00:00:20;     20360;          0;   110,4263;
00:00:20;     20693;          0;   110,5545;
00:00:21;     21027;          0;   110,7469;
00:00:21;     21360;          0;   111,0675;
00:00:21;     21693;          0;   111,5805;
00:00:22;     22027;          0;   111,5164;
00:00:22;     22360;          0;   111,1958;
00:00:22;     22693;          0;   111,6447;
00:00:23;     23027;          0;   112,5424;
00:00:23;     23360;          0;   112,9913;
00:00:23;     23693;          0;   113,3119;
00:00:24;     24027;          0;   113,4402;
00:00:24;     24360;          0;   113,4402;
00:00:24;     24693;          0;   113,8249;
00:00:25;     25027;          0;   114,2097;
00:00:25;     25360;          0;   115,0433;
00:00:25;     25693;          0;   115,6845;
00:00:26;     26027;          0;   116,0051;
00:00:26;     26360;          0;   116,5181;
00:00:26;     26693;          0;   117,2876;
00:00:27;     27027;          0;   117,7365;
00:00:27;     27360;          0;   118,1854;
00:00:27;     27693;          0;   118,4419;
00:00:28;     28027;          0;   118,8266;
00:00:28;     28360;          0;   118,9549;
00:00:28;     28693;          0;   162,2391;
00:00:29;     29027;          0;  1019,7154;
00:00:29;     29360;          5;  1225,0429;
00:00:29;     29693;          0;  1277,4328;
00:00:30;     30027;          0;  1290,9631;
00:00:30;     30360;          0;  1294,9389;
00:00:30;     30693;          0;   533,7780;
00:00:31;     31027;          0;   227,6464;
00:00:31;     31360;          0;   150,8890;
00:00:31;     31693;          0;   131,8440;
00:00:32;     32027;          0;   126,7140;
00:00:32;     32360;          0;   125,4315;
00:00:32;     32693;          0;   125,1750;
00:00:33;     33027;          5;   125,2391;
00:00:33;     33360;          0;   125,6880;
00:00:33;     33693;          5;   125,7521;
00:00:34;     34027;          0;   126,3292;
00:00:34;     34360;          5;   126,6499;
00:00:34;     34693;          5;   127,3552;
00:00:35;     35027;          0;   127,6117;
00:00:35;     35360;          0;   127,8682;
00:00:35;     35693;          5;   128,1247;
00:00:36;     36027;         15;   128,7019;
00:00:36;     36360;          0;   129,4072;
00:00:36;     36693;          0;   129,9843;
00:00:37;     37027;          0;   129,9843;
00:00:37;     37360;         10;   130,3691;
00:00:37;     37693;         10;   130,4332;
00:00:38;     38027;         10;   130,8180;
00:00:38;     38360;         15;   131,3310;
00:00:38;     38693;          0;   132,0363;
00:00:39;     39027;          5;   132,3570;
00:00:39;     39360;          0;   132,6135;
00:00:39;     39693;          5;   133,1906;
00:00:40;     40027;         10;   133,1906;
00:00:40;     40360;         15;   133,5753;
00:00:40;     40693;         15;   133,5753;
00:00:41;     41027;         10;   133,9601;
00:00:41;     41360;         10;   134,6013;
00:00:41;     41693;          0;   135,1143;
00:00:42;     42027;         10;   135,3067;
00:00:42;     42360;          5;   135,5632;
00:00:42;     42693;         10;   135,8838;
00:00:43;     43027;          0;   135,8838;
00:00:43;     43360;          5;   136,1403;
00:00:43;     43693;          5;   136,4610;
00:00:44;     44027;         30;   136,7816;
00:00:44;     44360;          5;   136,8457;
00:00:44;     44693;         10;   137,1663;
00:00:45;     45027;         15;   137,4869;
00:00:45;     45360;          5;   138,0641;
00:00:45;     45693;         30;   138,2564;
00:00:46;     46027;         25;   138,7694;
00:00:46;     46360;         25;   138,9618;
00:00:46;     46693;         15;   139,0259;
00:00:47;     47027;         10;   139,4107;
00:00:47;     47360;         15;   139,6672;
00:00:47;     47693;         10;   140,1802;
00:00:48;     48027;         20;   140,8856;
00:00:48;     48360;         45;   141,1421;
00:00:48;     48693;         20;   141,5268;
00:00:49;     49027;         15;   141,8474;
00:00:49;     49360;         45;   142,2963;
00:00:49;     49693;         10;   142,4887;
00:00:50;     50027;         30;   142,8093;
00:00:50;     50360;         30;   852,0292;
00:00:50;     50693;         20;  1153,8645;
00:00:51;     51027;         10;   390,0744;
00:00:51;     51360;         15;   206,0363;
00:00:51;     51693;         25;   160,3154;
00:00:52;     52027;         40;   149,1577;
00:00:52;     52360;         25;   146,4644;
00:00:52;     52693;         30;   146,1438;
00:00:53;     53027;         45;   146,3362;
00:00:53;     53360;         30;   146,4003;
00:00:53;     53693;         15;   146,6568;
00:00:54;     54027;         45;   147,1698;
00:00:54;     54360;         15;   147,4904;
00:00:54;     54693;         15;   147,6828;
00:00:55;     55027;         15;   148,1317;
00:00:55;     55360;         50;   148,3882;
00:00:55;     55693;         30;   148,6447;
00:00:56;     56027;         40;   148,9653;
00:00:56;     56360;         20;   149,7348;
00:00:56;     56693;         25;   149,9913;
00:00:57;     57027;         35;   150,1195;
00:00:57;     57360;         50;   150,2478;
00:00:57;     57693;         30;   150,3760;
00:00:58;     58027;         50;   150,6325;
00:00:58;     58360;         40;   150,8890;
00:00:58;     58693;         25;   151,1455;
00:00:59;     59027;         35;   151,7226;
00:00:59;     59360;         45;   152,2998;
00:00:59;     59693;         55;   152,5563;
00:01:00;     60027;         50;   152,6204;
00:01:00;     60360;         50;   152,9410;
00:01:00;     60693;         40;   153,2616;
00:01:01;     61027;         30;   153,5181;
00:01:01;     61360;         65;   153,8388;
00:01:01;     61693;         20;   154,1594;
00:01:02;     62027;         40;   154,6083;
00:01:02;     62360;         25;   154,7365;
00:01:02;     62693;         30;   155,3136;
00:01:03;     63027;         70;   155,3136;
00:01:03;     63360;         45;   155,8907;
00:01:03;     63693;         45;   155,8266;
00:01:04;     64027;         50;   155,7625;
00:01:04;     64360;         65;   156,5320;
00:01:04;     64693;         30;   157,1732;
00:01:05;     65027;         55;   157,6862;
00:01:05;     65360;         60;   157,9427;
00:01:05;     65693;         20;   158,5199;
00:01:06;     66027;         35;   158,5840;
00:01:06;     66360;         20;   158,6481;
00:01:06;     66693;         60;   159,2252;
00:01:07;     67027;         25;   159,6741;
00:01:07;     67360;         55;   159,9306;
