0000001841;scans;0000000046;DataLength
"header";0000000028;"lines"
"Date";2021-01-25;"Time";18:52:56
"ID";"HAL RC PIC-RGA 301 #15598";"Version";3
"Scans";2
"Scan ID";"Mode";"Input";"Scanned";"Start";"Stop";"Increment";"Dwell";"Settle";"RS";"RelSEM"
"Scan 1";"RGA";"SEM";"mass";284,00;284,00;0,01;200,000;100,000%;1,000000;1,000000;
"Scan 2";"RGA";"Temperature";"none";284,00;284,00;0,01;100,000%;100,000%;1,000000;1,000000;
"Environment";
"Global";"RGA"
"CRV_range";7;"c/s"
"CRV_resolution";6;"bits"
"F1";1;"( 1 = on, 0 = off )"
"F2";0;"( 1 = on, 0 = off )"
"cage";3,0;"V"
"delta-m";0;"%"
"discriminator";-10;"%"
"electron-energy";38,0;"V"
"emission";700,000;"uA"
"focus";-90;"V"
"gate_delay";0,1;"uS"
"gate_width";0,0;"uS"
"gating";0;"( 1 = on, 0 = off )"
"gating_invert";0;"( 0 = high/rise, 1 = low/fall)"
"mass";5,50;"amu"
"mode-change-delay";1000;"ms"
"multiplier";1800;"V"
"resolution";-100;"%"
"Data";2
"Time";"ms";"DHTA+";"Temperatura";
00:00:01;      1361;          0;   100,5511;
00:00:01;      1694;          0;   100,4228;
00:00:02;      2027;          0;   100,2946;
00:00:02;      2360;          0;   100,2946;
00:00:02;      2693;          0;   101,1923;
00:00:03;      3027;          0;   102,6672;
00:00:03;      3360;          0;   103,6932;
00:00:03;      3693;          0;   105,1681;
00:00:04;      4027;          0;   106,0658;
00:00:04;      4360;          0;   106,5788;
00:00:04;      4693;          0;   786,9425;
00:00:05;      5027;          0;   782,2614;
00:00:05;      5360;          0;   272,6619;
00:00:05;      5693;          0;   147,8110;
00:00:06;      6027;          0;   117,0953;
00:00:06;      6360;          0;   109,5285;
00:00:06;      6693;          0;   108,1819;
00:00:07;      7027;          0;   107,6689;
00:00:07;      7360;          0;   107,3483;
00:00:07;      7693;          0;   107,6689;
00:00:08;      8027;          0;   107,3483;
00:00:08;      8360;          0;   107,2842;
00:00:08;      8693;          0;   107,7331;
00:00:09;      9027;          0;   107,6048;
00:00:09;      9360;          0;   107,4124;
00:00:09;      9693;          0;   106,6429;
00:00:10;     10027;          0;   106,8353;
00:00:10;     10360;          0;   107,7972;
00:00:10;     10693;          0;   107,5407;
